zone_name,lat,lon
quadronno - crocetta,45.4542738,9.1956417
farini,45.4928794,9.1751082
palestro,45.4716297,9.2021428
repubblica,45.4794372,9.1979411
morgagni,45.4783236,9.2120563
centrale,45.4847973,9.2032159
frua,45.4647993,9.1492753
piazzale siena,45.4650768,9.1368993
lodi - brenta,45.4429124,9.2178994
lanza,45.4718013,9.1823052
bovisa,45.5022955,9.1653444
ripamonti,45.4285187,9.2031437
cascina merlata - musocco,45.509069,9.1058861
bignami - ponale,45.52474182295783,9.210809331754353
buenos aires,45.477891,9.2129012
dergano,45.5025125,9.1767835
plebisciti - susa,45.46981485298878,9.222436710128576
paolo sarpi,45.4814051,9.1762112
brera,45.4715187,9.1877351
montenero,45.5513532,9.2090518
guastalla,45.4597571,9.198675
pasteur,45.4902857,9.2179293
piave - tricolore,45.467919604242574,9.207210598762472
turro,45.4978623,9.2253526
gambara,45.4649139,9.1430147
maggiolina,45.4926428,9.2009254
porta romana - medaglie d'oro,45.4522392,9.202056
giambellino,45.4491788,9.1440266
moscova,45.4770858,9.1843685
città studi,45.4781089,9.2264995
cermenate - abbiategrasso,45.437728368643256,9.178810174203347
porta nuova,45.4799533,9.1926001
istria,45.5016171,9.197952
rubattino,45.4773704,9.246706
barona,45.4385666,9.154712
isola,45.4896261,9.1911715
missori,45.4599554,9.1893681
monte rosa - lotto,45.47660006699399,9.147109899997002
solari,45.4380426,9.2048152
scala - manzoni,45.4675733,9.1901177
gallaratese,45.4957237,9.1149555
turati,45.4746191,9.1947419
corso san gottardo,45.4480952,9.1796184
carrobbio,45.4602007,9.181269
washington,45.4612061,9.1563104
sempione,45.4771041,9.1701771
quarto cagnino,45.4724405,9.1096273
parco trotter,45.4944959,9.2241994
pezzotti - meda,45.44162110101479,9.181450432849504
cadorna - castello,45.4675214,9.1771143
quartiere adriano,45.514532,9.2451782
udine,45.4912082,9.2370179
garibaldi - corso como,45.482477141567884,9.187283093211027
cenisio,45.4874537,9.172262
bisceglie,45.4553979,9.1129252
corvetto,45.4403776,9.2234375
tripoli - soderini,45.4582475,9.1467492
vincenzo monti,45.506815,9.0980352
martini - insubria,45.46060849794086,9.220424911760034
porta vittoria,45.4622795,9.2071602
argonne - corsica,45.4680992,9.2319145
niguarda,45.5155078,9.1942367
molise - cuoco,45.4517958,9.2237393
arena,45.4754159,9.1814367
zara,45.4926642,9.1928945
trenno,45.489768,9.095981
duomo,45.4646014,9.1894915
navigli - darsena,45.45233840157201,9.177546326735703
porta venezia,45.4742821,9.2052265
de angeli,45.4664527,9.1495656
precotto,45.5122113,9.2257951
piazza napoli,45.4541829,9.153873
indipendenza,45.4274509,9.3098024
san siro,45.4782003,9.123964
rovereto,45.495536,9.2194872
vigentino - fatima,45.4220405,9.2036386
corso genova,45.4576897,9.1762097
arco della pace,45.4756896,9.172424
san vittore,45.5666193,8.8896459
bocconi,45.4498835,9.1892636
vercelli - wagner,45.46676449725214,9.157491657821524
cadore,45.457542,9.2130036
bande nere,45.461524,9.1364657
cascina dei pomi,45.4969041,9.2085756
dezza,45.4724593,9.2008641
villa san giovanni,45.5174649,9.2261092
ticinese,45.450596,9.1819509
portello - parco vittoria,45.48718781267403,9.149662341091865
chiesa rossa,45.4306606,9.1725177
qt8,45.4861423,9.1371765
amendola - buonarroti,45.4722665381493,9.152819453006444
certosa,45.5024067,9.1287328
bicocca,45.5151365,9.2122056
pagano,45.4683019,9.161102
inganni,45.4575781,9.1222244
crescenzago,45.5094512,9.2475983
viale ungheria - mecenate,45.4469783,9.2549229
santa giulia,45.436246,9.2431105
sant'ambrogio,45.4625663,9.1729177
gorla,45.5050319,9.2243422
ascanio sforza,45.4434495,9.1761933
famagosta,45.4368888,9.1681331
quartiere forlanini,45.4597687,9.2432802
greco - segnano,45.5022959,9.2121145
cimiano,45.5011666,9.2446195
casoretto,45.4885214,9.2273953
affori,45.5151242,9.1727368
quadrilatero della moda,45.4775948,9.1846483
tre castelli - faenza,45.43891003610351,9.14256870703347
quarto oggiaro,45.5158434,9.141206
bologna - sulmona,45.4443003,9.2251275
ghisolfa - mac mahon,45.49328695863271,9.158754110405624
ponte nuovo,45.4604186,8.8482093
quartiere feltre,45.4892131,9.2461182
melchiorre gioia,45.4948834,9.206843
city life,45.4833311,9.2022037
lambrate,45.4824346,9.2410536
ponte lambro,45.4428414,9.2635975
san babila,45.4666474,9.197568
baggio,45.4613839,9.089843
lorenteggio,45.446281,9.125936
cantalupa - san paolo,45.42876257307274,9.159224968271952
gratosoglio,45.4131981,9.1727058
rogoredo,45.4319367,9.2441502
comasina,45.5281283,9.1637084
ca' granda,45.4601184,9.1953364
prato centenaro,45.5095742,9.2009127
san carlo,45.6270471,8.9435032
borgogna - largo augusto,45.46378926342732,9.198137506546672
primaticcio,45.4594303,9.1292549
ortica,45.4708158,9.2409345
bruzzano,45.5278175,9.1771473
